node_loc,technology,fix_cost,inv_cost
R14_MEA,meth_exp,0,235
R14_PAO,meth_exp,0,235
R14_PAS,meth_exp,0,235
R14_RUS,meth_exp,0,235
R14_SAS,meth_exp,0,235
R14_SCS,meth_exp,0,235
R14_UBM,meth_exp,0,235
R14_WEU,meth_exp,0,235
R14_NAM,meth_exp,0,235
R14_AFR,eth_exp,0,235
R14_CAS,eth_exp,0,235
R14_CPA,eth_exp,0,235
R14_EEU,eth_exp,0,235
R14_LAM,eth_exp,0,235
R14_MEA,eth_exp,0,235
R14_PAO,eth_exp,0,235
R14_PAS,eth_exp,0,235
R14_RUS,eth_exp,0,235
R14_SAS,eth_exp,0,235
R14_SCS,eth_exp,0,235
R14_UBM,eth_exp,0,235
R14_WEU,eth_exp,0,235
R14_NAM,eth_exp,0,235
R14_AFR,meth_imp,0,NA
R14_CAS,meth_imp,0,NA
R14_CPA,meth_imp,0,NA
R14_EEU,meth_imp,0,NA
R14_LAM,meth_imp,0,NA
R14_MEA,meth_imp,0,NA
R14_PAO,meth_imp,0,NA
R14_PAS,meth_imp,0,NA
R14_RUS,meth_imp,0,NA
R14_SAS,meth_imp,0,NA
R14_SCS,meth_imp,0,NA
R14_UBM,meth_imp,0,NA
R14_WEU,meth_imp,0,NA
R14_NAM,meth_imp,0,NA
R14_AFR,eth_imp,0,NA
R14_CAS,eth_imp,0,NA
R14_CPA,eth_imp,0,NA
R14_EEU,eth_imp,0,NA
R14_LAM,eth_imp,0,NA
R14_MEA,eth_imp,0,NA
R14_PAO,eth_imp,0,NA
R14_PAS,eth_imp,0,NA
R14_RUS,eth_imp,0,NA
R14_SAS,eth_imp,0,NA
R14_SCS,eth_imp,0,NA
R14_UBM,eth_imp,0,NA
R14_WEU,eth_imp,0,NA
R14_NAM,eth_imp,0,NA
