node,year,gdp
OECD,2010,34694
OECD,2015,38345
OECD,2020,43210
OECD,2025,48287
OECD,2030,53825
REF,2010,2854
REF,2015,3504
REF,2020,4280
REF,2025,5244
REF,2030,6413
ASIA,2010,18086
ASIA,2015,25518
ASIA,2020,36046
ASIA,2025,49543
ASIA,2030,65745
