"","country","port_name","long","lat"
"98","Canada","Toronto",-79.3833333333333,43.6333333333333
"99","Canada","Trois-Rivieres",-72.5666666666667,46.3666666666667
"100","Canada","Vancouver",-123.116666666667,49.2833333333333
"101","Canada","Windsor",-83.0666666666667,42.3166666666667
"102","Canary Islands","Las Palmas",-15.45,28.0833333333333
"103","Canary Islands","Santa Cruz de",-16.2333333333333,28.4666666666667
"104","Cape Verde","Porto Grande",-25,16.8833333333333
"105","Cayman Islands","Georgetown, Grand",-81.3833333333333,19.3
"106","Chile","Antofagasta",-70.4166666666667,-23.65
"107","Chile","Arica",-70.3333333333333,-18.4666666666667
"108","Chile","Chanaral",-70.6333333333333,-26.35
"109","Chile","Iquique",-70.15,-20.2
"110","Chile","Puerto Montt",-72.95,-41.4666666666667
"111","Chile","Punta Arenas",-70.9,-53.1666666666667
"112","Chile","San Antonio",-71.6166666666667,-33.5833333333333
"113","Chile","San Vicente",-73.15,-36.7333333333333
"114","Chile","Talcahuano",-73.1,-36.6833333333333
"115","Chile","Valparaiso",-71.6333333333333,-33.0333333333333
"116","China","Dalian",121.666666666667,38.9166666666667
"117","China","Fuzhou",119.3,26.05
"118","China","Guangzhou",113.233333333333,23.1
"119","China","Haikou",110.266666666667,20.0166666666667
"120","China","Lianyungang",119.45,34.7333333333333
"121","China","Nantong",120.8,32
"122","China","Ningbo",121.516666666667,29.8666666666667
"123","China","Qingdao",120.333333333333,36.05
"124","China","Qinhuangdao",119.5,40
"125","China","Shanghai",121.466666666667,31.2333333333333
"126","China","Shantou",116.75,23.3333333333333
"127","China","Tianjin",117.166666666667,39.1
"128","China","Xiamen",118.033333333333,24.45
"129","China","Zhanjiang",110.4,21.1833333333333
"130","Colombia","Barranquilla",-74.7833333333333,10.9666666666667
"131","Colombia","Buenaventura",-77.0833333333333,3.88333333333333
"132","Colombia","Cartagena",-75.55,10.4333333333333
"133","Colombia","Puerto Bolivar",-71.9666666666667,12.2666666666667
"134","Colombia","Tumaco",-78.75,1.81666666666667
"135","Colombia","Turbo",-76.8333333333333,8
"136","Comoros","Moroni",43.7333333333333,-11.7
"137","Comoros","Mutsamudu",44.4,-12.1666666666667
"138","Congo","Pointe Noire",11.8166666666667,-4.78333333333333
"139","Congo, Dem.","",12.4166666666667,-6.01666666666667
"140","Congo, Dem.","",13.05,-5.85
"141","Costa Rica","Caldera",-84.7166666666667,9.9
"142","Costa Rica","Golfito",-83.1666666666667,8.61666666666667
"143","Costa Rica","Puntarenas",-84.8333333333333,9.96666666666667
"144","Costa Rica","Quepos",-84.1666666666667,9.41666666666667
"145","Côte d'Ivoire","Abidjan",-4,5.3
"146","Croatia","Rijeka Bakar",14.4333333333333,45.3166666666667
"147","Croatia","Zadar",15.2333333333333,44.1166666666667
"148","Croatia","Dubrovnik",18.0833333333333,42.65
"149","Croatia","Omisalj",14.55,45.2
"150","Croatia","Ploce",17.4333333333333,43.05
"151","Croatia","Pula",13.85,44.85
"152","Croatia","Sibenik",15.8833333333333,43.7333333333333
"153","Croatia","Split",16.4333333333333,43.5166666666667
"154","Cuba","Havana",-82.35,23.15
"155","Cuba","Manzanillo",-77.2,20.3333333333333
"156","Cuba","Matanzas",-81.5666666666667,23.05
"157","Cuba","Nuevitas",-77.2666666666667,21.55
"158","Cuba","Santiago de Cuba",-75.8666666666667,19.8333333333333
